query,intent
"Why was I charged twice for my last purchase?",billing
"I see an unexpected charge on my credit card statement.",billing
"Can I get an itemized invoice for order #8492?",billing
"My credit card was charged even though the transaction failed.",billing
"Where can I view my billing history?",billing
"Can you change the billing address on my account?",billing
"Is there a late fee if I pay my bill next week?",billing
"Why is my monthly statement higher than usual?",billing
"I was overcharged for shipping costs.",billing
"Can I update my payment details for the upcoming invoice?",billing
"What payment methods do you accept for monthly billing?",billing
"My payment went through but my account still shows unpaid.",billing
"How do I download PDF receipts for tax purposes?",billing
"I received a billing notification but I didn't place any order.",billing
"Can I split the bill between two credit cards?",billing
"Why am I being charged sales tax on an exempt purchase?",billing
"Is there an extra charge for international transactions?",billing
"I need a VAT invoice with my company details.",billing
"Please fix the error on my monthly billing statement.",billing
"Why did my automatic payment fail yesterday?",billing
"Can I set up direct debit for my recurring payments?",billing
"My promotional discount wasn't applied to my bill.",billing
"What happens if my card expires before the billing date?",billing
"Why is there a $1 pending charge on my bank account?",billing
"I got billed for a feature I never activated.",billing
"How do I update the credit card number saved on file?",billing
"Can you send the invoice to my accounting email address?",billing
"I was charged full price instead of the sale price.",billing
"Can I change my billing cycle from monthly to annual?",billing
"Why did the currency conversion fee apply to my invoice?",billing
"The checkout page charged my card twice due to a browser glitch.",billing
"How can I check when my next payment date is?",billing
"I need clarification on line item 3 of my latest bill.",billing
"Does the price on the invoice include taxes and duties?",billing
"Can you issue a revised receipt with my updated business address?",billing
"My bank declined the charge because of fraud protection.",billing
"Why is my total bill different from the checkout summary?",billing
"How do I remove a saved debit card from billing settings?",billing
"I was charged for an addon service I canceled last week.",billing
"Is there any processing fee for paying via PayPal?",billing
"I need to request a formal proof of payment for order 99231.",billing
"Why was my account billed twice in the same month?",billing
"Can I pay my outstanding balance using store credit?",billing
"The promo code WELCOME20 didn't deduct from my total bill.",billing
"Please verify why my payment status is marked as pending.",billing
"I paid my invoice via bank transfer, when will it update?",billing
"Can I get a billing breakdown for team members on my plan?",billing
"Why did I receive a past due notice when I already paid?",billing
"Is it possible to postpone my upcoming payment due date?",billing
"Where can I update my corporate tax ID for future invoices?",billing
"I would like to request a full refund for order #10492.",refund
"The item arrived damaged and I want my money back.",refund
"How long does it take for a refund to show up on my credit card?",refund
"I returned the package last Friday, when will I get refunded?",refund
"The product doesn't work as advertised, I demand a refund.",refund
"Can I get a refund if I open the original packaging?",refund
"I bought the wrong size and want to return it for a refund.",refund
"Where is my refund? It has been over two weeks.",refund
"The app crashed repeatedly so I want a refund on my purchase.",refund
"Can I get a refund to my original payment method or only store credit?",refund
"The package never arrived, please refund my payment immediately.",refund
"How do I initiate a return and refund process online?",refund
"I was sent the wrong item and need a full refund right away.",refund
"Is there a restocking fee deducted from my refund amount?",refund
"My subscription renewed automatically without notice, can I get a refund?",refund
"I accidentally ordered two items instead of one, please refund one.",refund
"What is your policy regarding partial refunds for missing parts?",refund
"The quality is very poor, I'm returning this for a full refund.",refund
"The event was canceled so I need a refund for my tickets.",refund
"Can I get a refund for shipping fees since delivery was late?",refund
"I canceled my service within 14 days, where is my money?",refund
"Please credit my account back for the returned boots.",refund
"I need to return an item bought as a gift, how does the refund work?",refund
"Is the return shipping label free or deducted from the refund?",refund
